ID_POST,Sentiment,Count,positive,negative,neutre
227577483972427_878176735579162,negative,3,3,1,2
227577483972427_878176735579162,positive,2,3,1,2
227577483972427_878176735579162,neutre,1,3,1,2
227577483972427_881096558620513,negative,2,2,0,0
227577483972427_881096558620513,positive,0,2,0,0
227577483972427_881096558620513,neutre,0,2,0,0
227577483972427_885259578204211,negative,1,1,2,1
227577483972427_885259578204211,positive,1,1,2,1
227577483972427_885259578204211,neutre,2,1,2,1
227577483972427_887733634623472,negative,0,0,1,0
227577483972427_887733634623472,positive,0,0,1,0
227577483972427_887733634623472,neutre,1,0,1,0
227577483972427_892908710772631,negative,1,1,2,5
227577483972427_892908710772631,positive,5,1,2,5
227577483972427_892908710772631,neutre,2,1,2,5
227577483972427_892911600772342,negative,1,1,0,0
227577483972427_892911600772342,positive,0,1,0,0
227577483972427_892911600772342,neutre,0,1,0,0
227577483972427_915642391832596,negative,0,0,2,3
227577483972427_915642391832596,positive,3,0,2,3
227577483972427_915642391832596,neutre,2,0,2,3
227577483972427_917466264983542,negative,2,2,0,1
227577483972427_917466264983542,positive,1,2,0,1
227577483972427_917466264983542,neutre,0,2,0,1
227577483972427_920629261333909,negative,1,1,0,0
227577483972427_920629261333909,positive,0,1,0,0
227577483972427_920629261333909,neutre,0,1,0,0
227577483972427_920638721332963,negative,0,0,0,1
227577483972427_920638721332963,positive,1,0,0,1
227577483972427_920638721332963,neutre,0,0,0,1
227577483972427_922034831193352,negative,0,0,2,1
227577483972427_922034831193352,positive,1,0,2,1
227577483972427_922034831193352,neutre,2,0,2,1
227577483972427_925512614178907,negative,1,1,1,0
227577483972427_925512614178907,positive,0,1,1,0
227577483972427_925512614178907,neutre,1,1,1,0
227577483972427_925513097512192,negative,0,0,3,0
227577483972427_925513097512192,positive,0,0,3,0
227577483972427_925513097512192,neutre,3,0,3,0
227577483972427_926909454039223,negative,0,0,0,2
227577483972427_926909454039223,positive,2,0,0,2
227577483972427_926909454039223,neutre,0,0,0,2
227577483972427_929813693748799,negative,0,0,0,2
227577483972427_929813693748799,positive,2,0,0,2
227577483972427_929813693748799,neutre,0,0,0,2
227577483972427_929814473748721,negative,0,0,1,0
227577483972427_929814473748721,positive,0,0,1,0
227577483972427_929814473748721,neutre,1,0,1,0
227577483972427_930180497045452,negative,0,0,1,1
227577483972427_930180497045452,positive,1,0,1,1
227577483972427_930180497045452,neutre,1,0,1,1
227577483972427_932570483473120,negative,1,1,0,1
227577483972427_932570483473120,positive,1,1,0,1
227577483972427_932570483473120,neutre,0,1,0,1
227577483972427_932582733471895,negative,1,1,0,2
227577483972427_932582733471895,positive,2,1,0,2
227577483972427_932582733471895,neutre,0,1,0,2
227577483972427_936349226428579,negative,0,0,0,1
227577483972427_936349226428579,positive,1,0,0,1
227577483972427_936349226428579,neutre,0,0,0,1
227577483972427_980704608659707,negative,2,2,1,1
227577483972427_980704608659707,positive,1,2,1,1
227577483972427_980704608659707,neutre,1,2,1,1
227577483972427_984325858297582,negative,1,1,0,1
227577483972427_984325858297582,positive,1,1,0,1
227577483972427_984325858297582,neutre,0,1,0,1
227577483972427_987386511324850,negative,2,2,0,4
227577483972427_987386511324850,positive,4,2,0,4
227577483972427_987386511324850,neutre,0,2,0,4
227577483972427_990472077682960,negative,1,1,2,2
227577483972427_990472077682960,positive,2,1,2,2
227577483972427_990472077682960,neutre,2,1,2,2
227577483972427_996077197122448,negative,0,0,0,1
227577483972427_996077197122448,positive,1,0,0,1
227577483972427_996077197122448,neutre,0,0,0,1
227577483972427_996079037122264,negative,1,1,2,6
227577483972427_996079037122264,positive,6,1,2,6
227577483972427_996079037122264,neutre,2,1,2,6
227577483972427_999031153493719,negative,0,0,2,2
227577483972427_999031153493719,positive,2,0,2,2
227577483972427_999031153493719,neutre,2,0,2,2
232821613450342_1012056468860182,negative,0,0,1,0
232821613450342_1012056468860182,positive,0,0,1,0
